sequence,kind,id,section,title,format,layout_label,size,quality,background,filename,caption,overlay,style,role,prompt_core
165,extra,EXTRA-02,EXTRA,Front matter opener: school made mathematics feel fake,H,Half-page conceptual plate,1536x1024,high,opaque,165_extra_front_matter_opener_school_made_mathematics_feel_fake.png,This book returns mathematics to things you can see and act on.,,editorial psychological reset plate,Acknowledge the reader’s experience without pity and signal that this book rebuilds trust.,"Show a sterile worksheet-like world of disconnected symbols fading away while, in the foreground, real geometric objects and transformations—sticks, arrows, circles, curves—re-enter as tangible, intelligible things. The mood should be relief and re-entry into meaning, not therapy cliché. Adult, dignified, low-drama, intellectually welcoming."
166,extra,EXTRA-03,EXTRA,"Decoding tool opener: picture, action, relation, compression",D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,166_extra_decoding_tool_opener_picture_action_relation_compression.png,Every new idea can be decoded four ways.,,four-lens conceptual plate,Give the reader the four-lens method in one memorable image.,"Design a four-quadrant image around one mathematical idea—such as addition or derivative—shown as picture, action, relation, and compression. Each quadrant should feel different in medium but clearly belong to the same concept: a drawn scene, a transformation process, an invariant relationship, and a symbolic packaging. Elegant, didactic without being textbooky, overlay-friendly for labels later."
167,extra,EXTRA-04,EXTRA,Permanent scaffold plate,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,167_extra_permanent_scaffold_plate.png,"Objects, operations, symmetries, invariants: the whole spine at once.",,master-scaffold atlas,Give the whole document a recurring visual anchor that readers can return to.,"Create a master visual atlas linking objects, sameness relations, operations, and invariants across the whole book. Segments, directed arrows, triangles, curves, functions, vectors, and spacetime intervals should appear as stations in one transformation-based system. The image should be rich enough to revisit throughout the book but not crowded. Elegant editorial map, adult palette, room for later labels."
168,extra,EXTRA-05,EXTRA,Roadmap of the journey,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,168_extra_roadmap_of_the_journey.png,"This is a journey through one evolving language, not a pile of disconnected units.",,journey map,Make the five-part structure feel like a navigable expedition rather than a syllabus.,"Design a five-part journey map that begins with raw magnitudes and ends in modern mathematical landscapes. Each part should have its own terrain character—workshop, instrument room, celestial chamber, analytic city, spacetime atlas—while remaining connected by a single path of transformations and invariants. The tone should be exploratory and rigorous, not fantasy-cartoon."
169,extra,EXTRA-06,EXTRA,Part I opener,F,Full-page opener,1024x1536,high,opaque,169_extra_part_i_opener.png,"Before symbols, there were magnitudes, comparisons, and choices.",,earthy workshop opener,"Set the tactile, pre-symbolic tone of the first part.","Create a tactile opening image for Part I: wood, rope, brass compass, straight segments, and unlabeled geometric comparisons laid out like the first honest tools of mathematics before symbolism takes over. The mood should be grounded, physical, and quietly profound."
170,extra,EXTRA-07,EXTRA,Part II opener,F,Full-page opener,1024x1536,high,opaque,170_extra_part_ii_opener.png,Arithmetic becomes transformation.,,instrument-and-motion opener,Announce operations as transformations rather than arithmetic recipes.,"Create a Part II opener in which arrows, scaling rays, mirrors, and ratio machines appear as a family of operations acting on a common geometric world. The image should feel like entering a room full of instruments that do mathematics by moving, resizing, reversing, and composing. Elegant, kinetic, no clutter."
171,extra,EXTRA-08,EXTRA,Part III opener,F,Full-page opener,1024x1536,high,opaque,171_extra_part_iii_opener.png,"The line widens into circle, plane, and completeness.",,celestial expansion opener,"Signal expansion beyond the rational line into turning, completeness, and the plane.","Create a Part III opener where a number line opens into nested intervals, a turning circle, and finally the complex plane under a night-sky or observatory mood. The feeling should be expansion of stage and depth, not abandonment of prior structure. Luminous, precise, adult."
172,extra,EXTRA-09,EXTRA,Part IV opener,F,Full-page opener,1024x1536,high,opaque,172_extra_part_iv_opener.png,Curves become objects; change becomes visible.,,analytic city opener,"Set the mood for coordinates, functions, and calculus as curve-thinking.","Create a Part IV opener where coordinate grids, curves, machines, tangents, and accumulations flow together like a transparent city of analytic structures. It should feel modern, lucid, and full of motion under refinement. Crisp glassy layers, elegant geometry, no software-dashboard vibe."
173,extra,EXTRA-10,EXTRA,Part V opener,F,Full-page opener,1024x1536,high,opaque,173_extra_part_v_opener.png,"At the end of the road, the invariant becomes the law.",,austere modern physics opener,Elevate the final part into an invariants-and-modernity chamber.,"Create a Part V opener where Euclidean geometry, complex rotations, and spacetime invariants line up as one family of preserved structures under different symmetry groups. The image should feel austere, modern, and culminating. Black, silver, deep blue, strong structure, no sci-fi noise."
174,extra,EXTRA-11,EXTRA,Appendix A timeline,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,174_extra_appendix_a_timeline.png,"The subject grew by answering pressure, not by accreting random facts.",,timeline mural,Give the historical timeline a clean visual spine so it feels like living development rather than trivia.,"Design a horizontally flowing timeline mural that moves from ancient geometry and ratio crises through analytic geometry, calculus, complex numbers, linear algebra, relativity, and modern branches. Use a restrained icon system and evolving visual motifs rather than portraits alone. Clean, elegant, highly navigable."
175,extra,EXTRA-12,EXTRA,Appendix D proof-reading guide,H,Half-page conceptual plate,1536x1024,high,opaque,175_extra_appendix_d_proof_reading_guide.png,"A proof is a path of allowed moves, not a performance of brilliance.",,proof path plate,Turn proof-reading from dread into a navigable practice.,"Create an image of a proof as a path through a structured landscape: assumptions at one end, allowed moves as stepping stones, conclusions at the far side, and common wrong turns faintly visible but not dominant. The image should be calming and procedural without becoming childish. It should tell the reader that a proof is a route to be walked, not a wall to be feared."
